#taxaorder:a2457,a2091,a1263,a1277,a52,a127,a71,a31,a61,a214,a40,a8,a169,a36,a159,a318,a208,a313,a130,a173,a76,a212,a78,a4,a1,a73,a344,a358,a51_con,a20_con,a336,a82,a337,a13,a14,a339,a304_con,a354,a334_con,a33,a323,a38,a22,a59,a205,a5,a10,a324,a28,a109_con,a120,a355,a124,a54,a297,a55,a53,a2455,a1244,a1242
13,13,13,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,20,20,2,2,2,2,2,2,2,23,24,5,6,6,6,6,10,14,14,15,9,8,8,7,11,12,16,16,17,18,4,21,22
20,21,11,11,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,23,23,14,15,15,15,15,15,13,4,4,5,18,19,19,12,16,16,16,16,17,7,7,6,8,9,24,24,25,25,3,10,10
7,7,7,7,1,30,30,31,19,20,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,9,11,12,26,27,27,27,27,27,25,3,3,4,16,23,24,15,18,18,18,18,18,21,22,17,5,6,10,10,13,14,2,8,8
8,8,8,8,1,24,25,23,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2,2,2,15,16,16,16,16,16,12,4,4,5,22,26,27,20,13,13,13,13,13,13,13,14,6,7,18,19,10,11,3,9,9
9,9,9,9,1,16,16,16,17,17,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,18,19,20,2,2,2,2,2,2,2,4,4,5,14,14,14,15,6,6,6,6,6,6,6,6,7,8,11,11,12,13,3,10,10
6,6,6,6,1,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2,2,2,12,13,13,13,14,15,11,4,4,5,16,16,16,17,18,18,18,18,18,18,18,19,22,23,8,8,9,10,3,7,7
21,21,21,21,1,25,25,25,26,26,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,10,11,7,8,8,8,8,8,6,3,3,4,15,23,24,14,12,12,12,12,12,12,12,13,17,18,5,5,19,20,2,22,22
18,19,12,12,1,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,6,8,9,16,16,16,16,16,16,17,4,4,5,14,14,14,15,13,13,13,13,13,13,13,13,10,11,2,2,2,2,3,7,7
22,22,23,23,1,10,10,10,11,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,18,18,18,18,18,18,19,16,17,4,8,8,8,8,20,20,20,20,20,20,20,21,6,7,13,13,14,15,3,5,5
11,11,12,12,1,18,18,18,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,14,14,2,2,2,2,2,2,2,15,16,5,6,6,6,6,7,7,7,7,7,7,7,7,3,3,8,8,9,10,4,20,21
5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,13,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,10,11,6,7,4,5,5
13,13,13,13,1,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,11,12,17,18,18,18,18,18,10,9,9,19,20,20,20,20,21,21,21,21,21,21,21,22,5,6,2,2,3,4,7,14,14
16,17,13,13,1,19,19,19,20,21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,8,9,22,22,22,22,22,22,23,7,7,10,11,11,11,12,24,24,24,24,24,24,24,25,3,4,2,2,2,2,5,14,15
19,19,20,20,1,9,9,9,10,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,17,18,18,18,18,18,12,6,6,7,21,21,21,21,22,22,22,22,22,22,22,22,3,4,13,13,14,15,5,16,16
13,13,13,13,1,9,9,9,15,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,2,2,2,5,5,5,5,5,5,5,7,7,8,21,21,21,22,19,19,19,19,19,19,19,20,3,4,10,10,11,12,6,14,14
23,23,24,24,1,16,16,16,17,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,11,12,4,4,4,4,4,4,4,6,6,7,25,25,25,26,13,13,13,13,13,13,13,14,2,3,21,22,8,9,5,19,20
17,17,17,17,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,15,16,13,21,21,21,22,22,12,6,6,7,11,11,11,11,19,19,19,19,19,19,19,20,3,4,8,8,9,10,5,18,18
11,11,14,15,1,26,26,27,24,25,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,12,18,19,16,17,17,17,17,17,13,5,5,6,20,20,20,21,9,9,9,9,9,9,9,9,2,3,7,7,8,8,4,10,10
15,15,16,16,1,23,23,23,24,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,14,17,17,17,18,18,13,4,4,5,19,19,19,20,7,7,7,7,7,7,7,7,9,10,6,6,11,12,3,21,22
10,10,10,10,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,17,17,14,14,14,14,14,14,15,4,4,5,12,12,12,13,6,6,6,6,6,6,6,6,7,8,2,2,2,2,9,11,11
7,7,7,7,1,24,24,24,25,25,12,12,12,12,12,12,12,12,12,12,12,12,20,20,21,21,2,2,2,15,16,16,16,16,16,11,18,19,3,22,22,22,23,17,17,17,17,17,17,17,17,4,5,8,8,9,10,6,13,14
16,17,18,19,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,13,14,3,3,3,3,3,3,3,4,4,5,20,20,20,20,21,21,21,21,21,21,21,21,6,7,9,9,11,12,8,15,15
13,14,25,26,1,22,22,23,19,19,29,29,29,29,29,29,29,29,29,29,29,30,24,24,24,24,7,8,9,15,16,16,16,16,16,12,2,2,3,11,11,11,11,27,27,27,27,27,27,27,28,4,5,10,10,17,18,6,20,21
24,25,21,21,1,12,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,20,15,15,15,15,8,9,10,2,2,2,2,2,2,2,3,3,4,16,16,16,16,22,22,22,22,22,22,22,23,5,6,11,11,13,14,7,17,18
8,8,8,8,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,15,16,16,16,16,16,14,17,18,6,12,13,13,11,10,10,10,10,10,10,10,10,4,4,2,2,2,2,7,9,9
13,13,13,13,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,10,11,11,11,11,11,9,5,5,12,15,15,15,15,16,16,16,16,16,16,16,16,7,8,2,2,2,2,6,14,14
10,10,10,10,1,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,2,2,7,7,7,7,7,7,8,3,3,9,17,17,17,17,18,18,18,18,18,18,18,18,5,6,14,14,15,16,4,11,11
9,9,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,7,8,2,2,2,2,6,10,10
7,7,7,7,1,13,13,13,18,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,2,2,20,21,21,21,21,21,17,3,3,9,10,10,10,10,11,11,11,11,11,11,11,11,5,6,14,14,15,16,4,8,8
5,5,5,5,1,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,26,12,13,14,19,27,27,27,28,28,15,16,17,7,8,8,8,8,20,20,20,20,20,21,22,18,3,4,9,9,10,11,2,6,6
17,17,18,18,1,28,29,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,2,2,21,26,26,26,27,27,9,15,16,7,22,22,22,23,11,11,11,11,11,19,20,10,4,5,8,8,24,25,3,6,6
6,6,6,6,1,24,24,25,11,11,28,29,29,29,29,29,29,29,29,29,29,21,20,20,20,20,15,18,19,9,9,9,9,9,9,10,2,2,7,16,17,17,14,26,26,26,26,26,26,26,27,4,5,8,8,12,13,3,22,23
5,5,5,5,1,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,17,18,10,10,10,10,10,10,11,21,22,6,7,7,7,7,8,8,8,8,8,8,8,8,3,4,9,9,14,15,2,19,20
5,5,5,5,1,16,17,15,26,27,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,8,9,10,20,21,21,21,21,21,14,12,13,7,24,24,24,24,25,25,25,25,25,25,25,25,3,4,11,11,22,23,2,6,6
4,4,4,4,1,12,12,12,22,23,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,8,9,10,20,21,21,21,21,21,13,2,2,6,7,7,7,7,7,7,7,7,7,7,7,7,18,19,11,11,16,17,3,5,5
3,3,3,3,1,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,10,16,17,17,17,17,17,15,18,19,5,13,13,13,13,14,14,14,14,14,14,14,14,11,12,20,20,21,21,2,4,4
19,20,18,18,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,6,6,7,10,10,10,10,14,15,15,15,13,12,12,11,8,9,2,2,2,2,16,17,17
12,12,12,12,1,20,20,20,23,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,21,22,18,19,19,19,19,19,6,14,15,3,7,7,7,8,9,9,9,9,9,9,9,10,4,5,2,2,2,2,11,13,13
12,12,12,12,1,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,3,3,4,4,4,4,4,4,4,5,5,6,10,10,10,10,11,11,11,11,11,11,11,11,7,8,2,2,2,2,9,13,13
10,10,10,10,1,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2,2,2,13,13,13,13,13,13,14,3,3,8,12,12,12,12,18,18,18,18,18,19,19,15,4,5,6,7,20,21,9,11,11
7,7,7,7,1,27,28,20,17,17,18,18,18,18,18,18,18,18,18,18,18,19,23,23,24,24,10,13,14,11,11,11,11,11,11,12,25,26,5,9,9,9,9,21,21,21,21,21,21,21,22,2,3,4,4,15,16,6,8,8
7,7,7,7,1,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,16,17,17,17,17,17,15,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,11,12,13,13,14,14,6,8,8
13,13,14,14,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,15,16,16,16,16,16,10,17,18,5,21,22,22,12,19,19,19,19,20,23,24,11,8,9,2,2,2,2,6,7,7
18,18,19,19,1,17,17,17,17,17,23,23,23,23,23,23,23,23,23,23,23,24,22,22,22,22,14,15,16,8,8,8,8,8,8,9,2,2,3,10,10,10,10,11,11,11,11,11,11,11,11,6,7,20,21,12,13,4,5,5
14,14,15,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,19,20,20,20,20,20,18,10,10,11,12,12,12,12,13,13,13,13,13,13,13,13,4,5,16,17,6,7,8,9,9
11,11,11,11,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,22,22,3,3,3,3,3,3,3,7,7,8,9,9,9,10,15,15,15,15,16,14,14,13,4,5,19,20,17,18,6,12,12
8,8,8,8,1,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,2,2,2,14,14,14,14,14,14,15,20,21,6,7,7,7,7,22,22,22,22,23,19,19,18,3,4,10,10,11,12,5,9,9
19,19,20,20,1,12,12,12,15,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,22,22,13,13,13,13,13,13,14,5,5,6,17,17,17,17,18,18,18,18,18,18,18,18,2,3,8,8,9,10,4,7,7
20,20,21,21,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,13,14,3,3,3,3,3,3,3,18,19,7,9,9,9,9,10,10,10,10,10,10,10,11,4,5,15,15,16,17,6,8,8
9,9,9,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,17,18,18,18,18,18,16,7,7,8,21,22,22,13,14,14,14,14,14,14,14,15,4,5,10,10,11,12,6,19,20
6,6,6,6,1,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,17,18,2,2,2,2,2,2,2,14,15,12,13,13,13,13,13,13,13,13,13,13,13,13,3,4,8,8,9,9,5,7,7
19,19,23,24,1,25,25,26,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,5,6,15,16,16,16,16,16,10,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,2,3,12,13,17,18,11,21,22
8,8,8,8,1,13,13,13,19,20,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,14,17,18,11,12,12,12,12,12,6,21,22,5,9,9,9,10,25,25,25,25,25,25,25,26,2,3,4,4,15,16,7,8,8
11,11,11,11,1,23,24,18,19,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,12,13,13,13,13,13,8,25,26,4,14,14,14,15,16,16,16,16,16,16,16,17,2,3,21,22,9,9,10,11,11
14,14,14,14,1,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,16,19,20,21,22,22,22,22,22,7,25,26,4,10,10,10,10,24,27,27,28,23,17,18,11,2,3,8,8,12,13,9,15,15
10,10,10,10,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,21,21,21,21,21,21,22,19,20,6,8,8,8,8,13,14,14,15,12,11,11,9,4,5,16,16,17,18,7,23,24
8,8,8,8,1,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22,23,24,28,29,29,29,29,29,25,18,19,4,6,6,6,6,10,11,11,12,9,20,21,7,2,3,13,13,14,15,5,16,17
8,8,8,8,1,24,25,23,17,17,26,26,26,26,26,26,26,26,26,26,26,26,29,29,30,30,13,14,15,27,28,28,28,28,28,16,33,34,4,6,6,6,6,11,19,20,12,10,31,32,7,2,3,18,18,21,22,5,9,9
33,33,34,34,1,23,24,21,27,28,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,14,15,22,29,29,29,30,30,17,4,4,5,25,25,25,26,10,11,11,12,9,8,8,7,2,3,18,18,19,20,6,31,32
30,30,31,31,1,24,25,21,32,33,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,13,14,22,23,23,23,23,23,16,4,4,5,19,19,19,20,10,28,29,11,9,26,27,7,2,3,17,17,18,18,6,8,8
20,20,20,20,1,31,32,14,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,25,26,15,16,16,16,27,28,12,22,23,2,3,3,3,3,7,8,8,9,6,5,5,4,17,18,24,24,29,30,19,21,21
28,28,29,29,1,13,13,13,19,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,21,24,24,24,25,25,12,3,3,4,5,5,5,5,8,9,9,10,7,26,27,6,14,15,18,18,22,23,16,17,17
12,12,12,12,1,34,34,35,20,21,29,30,30,30,30,30,30,30,30,30,30,28,27,27,27,27,22,23,24,14,15,15,15,15,15,8,2,2,3,32,33,33,31,7,18,18,19,6,5,5,4,9,10,13,13,16,17,11,25,26
11,11,11,11,1,30,30,30,33,34,31,32,32,32,32,32,32,32,32,32,32,22,21,21,21,21,18,19,20,13,14,14,14,14,14,7,2,2,3,24,25,25,23,6,26,27,17,5,28,29,4,8,9,12,12,15,16,10,11,11
25,25,38,39,1,21,21,22,18,19,32,33,33,33,33,33,33,33,33,33,33,24,23,23,23,23,14,15,16,28,29,29,29,29,29,6,26,27,2,36,37,37,17,5,34,35,13,4,30,31,3,7,8,10,10,11,12,9,20,20
24,24,25,25,1,19,19,20,30,31,22,22,22,22,22,22,22,22,22,22,22,23,21,21,21,21,2,2,2,26,27,27,27,27,27,10,3,3,4,5,5,5,5,9,16,16,17,8,7,7,6,11,12,28,29,14,15,13,18,18
26,26,27,27,1,17,17,17,21,22,28,28,28,28,28,28,28,28,28,28,28,28,31,31,32,32,23,24,25,19,20,20,20,20,20,8,2,2,3,4,4,4,4,7,15,15,16,6,29,30,5,9,10,12,12,13,14,11,18,18
19,19,26,27,1,20,20,21,28,29,31,32,32,32,32,32,32,32,32,32,32,30,17,17,17,17,14,15,16,24,25,25,25,25,25,18,2,2,9,8,8,8,8,22,10,10,5,23,6,11,7,3,4,13,13,35,36,12,33,34
24,24,25,25,1,32,33,23,26,27,30,31,31,31,31,31,31,31,31,31,31,18,15,15,15,15,3,3,3,21,21,21,21,21,21,22,2,2,10,9,9,9,9,16,11,11,6,17,7,12,8,4,5,28,29,19,20,13,14,14
22,22,22,22,1,14,14,14,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3,25,26,26,26,27,27,24,2,2,10,9,9,9,9,16,20,20,6,17,7,21,8,4,5,13,13,18,19,12,23,23
15,15,15,15,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,18,19,19,19,19,19,17,2,2,12,11,11,11,11,8,20,20,7,8,9,21,10,5,6,14,14,22,23,13,16,16
12,12,12,12,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,22,23,2,2,2,2,2,2,2,24,25,10,20,20,20,21,7,15,16,6,7,8,14,9,4,5,13,13,17,18,11,12,12
25,25,26,26,1,22,22,22,22,22,28,28,28,28,28,28,28,28,28,28,28,29,27,27,27,27,2,2,2,20,21,21,21,23,24,19,30,31,9,8,8,8,8,16,12,12,5,17,6,13,7,3,4,11,11,14,15,10,18,18
14,14,14,14,1,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,21,22,16,16,16,16,16,16,17,2,2,7,18,18,18,19,4,10,10,3,4,5,11,6,25,26,9,9,12,13,8,15,15
12,12,12,12,1,18,18,18,21,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,13,14,15,28,29,29,29,29,29,27,2,2,7,6,6,6,6,19,25,25,3,20,4,26,5,16,17,9,9,10,11,8,30,31
27,27,27,27,1,29,29,30,18,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,13,14,25,26,26,26,26,26,22,2,2,7,23,23,23,24,4,20,20,3,4,5,21,6,16,17,9,9,10,11,8,28,28
13,13,13,13,1,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,4,4,3,3,3,3,3,3,3,2,2,8,20,21,22,17,18,5,5,5,19,6,5,7,15,16,10,10,11,12,9,14,14
6,6,6,6,1,19,19,19,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,22,22,11,16,16,16,23,24,10,2,2,4,3,3,3,3,17,17,17,17,17,17,17,18,8,9,12,12,13,14,5,7,7
17,17,18,18,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,10,11,2,2,2,2,2,2,2,19,20,4,15,15,15,15,16,16,16,16,16,16,16,16,7,8,12,12,13,14,5,6,6
16,16,16,16,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,12,13,18,19,19,19,19,19,11,20,21,3,9,9,9,9,10,10,10,10,10,10,10,10,14,15,6,6,7,8,4,17,17
17,17,18,18,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,10,11,15,15,15,15,15,15,16,2,2,4,9,9,9,9,19,19,19,19,19,19,19,20,12,13,7,7,8,8,5,14,14
9,9,9,9,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,15,15,4,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,8,12,13,11,11,6,10,10
9,9,9,9,1,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4,4,4,3,3,3,3,3,3,3,2,2,8,13,13,13,13,16,16,16,16,16,16,16,17,6,7,10,10,11,12,5,14,15
18,18,19,19,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,13,14,16,17,17,17,17,17,15,2,2,7,20,20,20,20,21,21,21,21,21,21,21,21,5,6,9,9,10,11,4,8,8
9,9,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,14,15,8,16,16,16,17,18,18,18,18,18,18,18,19,6,7,11,11,12,13,5,10,10
20,20,21,21,1,24,25,19,26,27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,12,13,2,2,2,2,2,2,2,22,23,6,8,8,8,8,17,17,17,17,17,18,17,16,4,5,7,7,9,10,3,14,14
19,19,19,19,1,15,15,15,16,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,12,13,3,3,3,3,3,3,3,2,2,6,9,9,9,9,10,10,10,10,10,10,10,10,4,5,7,7,8,8,18,20,20
9,9,9,9,1,17,17,17,18,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,12,13,4,4,4,4,4,4,4,3,3,14,15,15,15,15,16,16,16,16,16,16,16,16,5,6,2,2,2,2,8,10,10
20,20,21,21,1,11,11,11,11,11,22,22,22,22,22,22,22,22,22,22,22,23,19,19,19,19,7,12,13,10,24,24,24,25,25,9,3,3,8,15,15,15,16,17,17,17,17,17,17,17,18,4,5,2,2,2,2,6,14,14
